,fecha real,timestamp,value,variable
0,2017-06-21 11:34:59+00:00,1498062899000,2332.78,Sensor19
1,2017-06-21 07:32:39+00:00,1498048359000,35.65,Sensor19
2,2017-06-21 06:13:23+00:00,1498043603000,2427.51,Sensor19
3,2017-06-21 05:05:39+00:00,1498039539000,1847.9,Sensor19
4,2017-06-21 04:05:42+00:00,1498035942000,2809.46,Sensor19
5,2017-06-21 02:43:41+00:00,1498031021000,104.22,Sensor19
6,2017-06-21 01:53:55+00:00,1498028035000,484.12,Sensor19
7,2017-06-20 23:55:43+00:00,1498020943000,26.95,Sensor19
8,2017-06-20 22:48:34+00:00,1498016914000,1567.48,Sensor19
9,2017-06-20 21:19:42+00:00,1498011582000,61.94,Sensor19
10,2017-06-20 20:17:34+00:00,1498007854000,2486.45,Sensor19
11,2017-06-20 19:04:42+00:00,1498003482000,481.49,Sensor19
12,2017-06-20 17:44:07+00:00,1497998647000,2241.22,Sensor19
13,2017-06-20 16:12:55+00:00,1497993175000,195.92,Sensor19
14,2017-06-20 16:07:51+00:00,1497992871000,1641.83,Sensor19
15,2017-06-20 15:03:01+00:00,1497988981000,2250.19,Sensor19
16,2017-06-20 14:33:45+00:00,1497987225000,2199.22,Sensor19
17,2017-06-20 13:07:14+00:00,1497982034000,2185.5,Sensor19
18,2017-06-20 11:58:59+00:00,1497977939000,2194.99,Sensor19
19,2017-06-20 11:57:47+00:00,1497977867000,2168.2,Sensor19
20,2017-06-20 10:52:40+00:00,1497973960000,2375.8,Sensor19
21,2017-06-20 09:45:13+00:00,1497969913000,2368.64,Sensor19
22,2017-06-20 08:39:11+00:00,1497965951000,2253.06,Sensor19
23,2017-06-20 07:38:24+00:00,1497962304000,2666.68,Sensor19
24,2017-06-20 07:37:42+00:00,1497962262000,2404.02,Sensor19
25,2017-06-20 06:23:52+00:00,1497957832000,2197.81,Sensor19
26,2017-06-20 05:18:22+00:00,1497953902000,32.06,Sensor19
27,2017-06-20 04:17:30+00:00,1497950250000,43.12,Sensor19
28,2017-06-20 03:05:56+00:00,1497945956000,28.7,Sensor19
29,2017-06-20 02:01:14+00:00,1497942074000,2345.67,Sensor19
30,2017-06-20 01:09:02+00:00,1497938942000,31.71,Sensor19
31,2017-06-19 23:58:15+00:00,1497934695000,64.37,Sensor19
32,2017-06-19 22:54:48+00:00,1497930888000,34.27,Sensor19
33,2017-06-19 22:48:31+00:00,1497930511000,33.75,Sensor19
34,2017-06-19 22:35:12+00:00,1497929712000,2175.41,Sensor19
35,2017-06-19 21:26:03+00:00,1497925563000,2194.02,Sensor19
36,2017-06-19 20:25:52+00:00,1497921952000,2230.32,Sensor19
37,2017-06-19 19:14:46+00:00,1497917686000,28.31,Sensor19
38,2017-06-19 18:13:45+00:00,1497914025000,2344.52,Sensor19
39,2017-06-19 18:05:03+00:00,1497913503000,2178.26,Sensor19
40,2017-06-19 17:00:16+00:00,1497909616000,2370.17,Sensor19
41,2017-06-19 16:27:34+00:00,1497907654000,56.59,Sensor19
42,2017-06-19 15:31:37+00:00,1497904297000,1393.91,Sensor19
43,2017-06-19 14:22:46+00:00,1497900166000,2568.04,Sensor19
44,2017-06-19 14:22:18+00:00,1497900138000,41.87,Sensor19
45,2017-06-19 13:11:27+00:00,1497895887000,2122.24,Sensor19
46,2017-06-19 11:58:13+00:00,1497891493000,32.96,Sensor19
47,2017-06-19 10:58:45+00:00,1497887925000,50.43,Sensor19
48,2017-06-19 10:58:14+00:00,1497887894000,2220.19,Sensor19
49,2017-06-19 09:48:28+00:00,1497883708000,29.96,Sensor19
50,2017-06-19 08:48:12+00:00,1497880092000,2593.99,Sensor19
51,2017-06-19 07:38:48+00:00,1497875928000,2448.51,Sensor19
52,2017-06-19 06:32:14+00:00,1497871934000,2257.18,Sensor19
