,fecha real,timestamp,value,variable
0,2017-07-12 08:56:28+00:00,1499867788000,200.65,Sensor8
1,2017-07-12 08:56:11+00:00,1499867771000,203.7,Sensor8
2,2017-06-30 04:38:08+00:00,1498815488000,1833.72,Sensor8
3,2017-06-30 03:42:09+00:00,1498812129000,1136.34,Sensor8
4,2017-06-30 02:08:43+00:00,1498806523000,112.23,Sensor8
5,2017-06-30 00:46:44+00:00,1498801604000,1952.64,Sensor8
6,2017-06-29 23:41:54+00:00,1498797714000,1862.43,Sensor8
7,2017-06-29 22:36:10+00:00,1498793770000,2058.36,Sensor8
8,2017-06-29 21:53:08+00:00,1498791188000,30.51,Sensor8
9,2017-06-29 21:14:50+00:00,1498788890000,25.1,Sensor8
10,2017-06-29 19:49:09+00:00,1498783749000,28.82,Sensor8
11,2017-06-29 19:38:23+00:00,1498783103000,51.93,Sensor8
12,2017-06-29 19:34:40+00:00,1498782880000,52.55,Sensor8
13,2017-06-29 18:00:32+00:00,1498777232000,28.18,Sensor8
14,2017-06-29 16:36:34+00:00,1498772194000,38.92,Sensor8
15,2017-06-29 15:56:44+00:00,1498769804000,25.13,Sensor8
16,2017-06-29 15:50:37+00:00,1498769437000,1210.59,Sensor8
17,2017-06-29 15:39:17+00:00,1498768757000,2256.93,Sensor8
18,2017-06-29 14:58:59+00:00,1498766339000,1366.04,Sensor8
19,2017-06-29 14:40:09+00:00,1498765209000,1598.3,Sensor8
20,2017-06-29 13:46:59+00:00,1498762019000,29.41,Sensor8
21,2017-06-29 13:31:12+00:00,1498761072000,36.11,Sensor8
22,2017-06-29 13:13:45+00:00,1498760025000,58.43,Sensor8
23,2017-06-29 13:08:42+00:00,1498759722000,28.01,Sensor8
24,2017-06-29 12:41:26+00:00,1498758086000,34.68,Sensor8
25,2017-06-29 12:16:31+00:00,1498756591000,26.99,Sensor8
26,2017-06-29 12:04:07+00:00,1498755847000,955.51,Sensor8
27,2017-06-29 11:13:00+00:00,1498752780000,109.69,Sensor8
28,2017-06-29 10:27:24+00:00,1498750044000,28.3,Sensor8
29,2017-06-29 10:26:57+00:00,1498750017000,30.85,Sensor8
30,2017-06-29 10:20:00+00:00,1498749600000,1452.9,Sensor8
31,2017-06-29 10:02:52+00:00,1498748572000,1888.43,Sensor8
32,2017-06-29 09:52:11+00:00,1498747931000,2083.53,Sensor8
33,2017-06-29 09:23:02+00:00,1498746182000,30.03,Sensor8
34,2017-06-29 09:02:11+00:00,1498744931000,31.21,Sensor8
35,2017-06-29 08:55:05+00:00,1498744505000,1310.44,Sensor8
36,2017-06-29 08:37:42+00:00,1498743462000,470.11,Sensor8
37,2017-06-29 05:17:48+00:00,1498731468000,152.96,Sensor8
38,2017-06-29 04:07:21+00:00,1498727241000,872.86,Sensor8
39,2017-06-29 03:00:21+00:00,1498723221000,93.09,Sensor8
40,2017-06-29 02:25:37+00:00,1498721137000,34.59,Sensor8
41,2017-06-29 00:36:50+00:00,1498714610000,109.41,Sensor8
42,2017-06-28 23:32:13+00:00,1498710733000,90.86,Sensor8
43,2017-06-28 22:29:25+00:00,1498706965000,116.03,Sensor8
44,2017-06-28 22:11:34+00:00,1498705894000,52.03,Sensor8
45,2017-06-28 21:23:44+00:00,1498703024000,370.3,Sensor8
46,2017-06-28 20:19:50+00:00,1498699190000,1676.37,Sensor8
47,2017-06-28 20:11:33+00:00,1498698693000,1773.62,Sensor8
48,2017-06-28 19:55:05+00:00,1498697705000,37.9,Sensor8
49,2017-06-28 19:34:41+00:00,1498696481000,40.04,Sensor8
50,2017-06-28 19:18:52+00:00,1498695532000,28.49,Sensor8
51,2017-06-28 18:43:40+00:00,1498693420000,26.74,Sensor8
52,2017-06-28 18:21:22+00:00,1498692082000,45.91,Sensor8
53,2017-06-28 17:45:03+00:00,1498689903000,921.65,Sensor8
54,2017-06-28 17:04:21+00:00,1498687461000,1657.87,Sensor8
55,2017-06-28 16:30:44+00:00,1498685444000,1098.07,Sensor8
56,2017-06-28 15:27:50+00:00,1498681670000,28.66,Sensor8
57,2017-06-28 15:21:10+00:00,1498681270000,1687.57,Sensor8
58,2017-06-28 15:05:16+00:00,1498680316000,830.33,Sensor8
59,2017-06-28 14:11:09+00:00,1498677069000,1398.91,Sensor8
60,2017-06-28 13:33:38+00:00,1498674818000,1366.38,Sensor8
61,2017-06-28 13:15:40+00:00,1498673740000,62.3,Sensor8
62,2017-06-28 12:28:37+00:00,1498670917000,869.96,Sensor8
