,fecha real,timestamp,value,variable
0,2017-06-21 11:37:35+00:00,1498063055000,153.7,Sensor14
1,2017-06-21 11:37:31+00:00,1498063051000,153.7,Sensor14
2,2017-06-21 11:34:51+00:00,1498062891000,269.25,Sensor14
3,2017-06-21 11:34:46+00:00,1498062886000,269.25,Sensor14
4,2017-06-21 11:34:20+00:00,1498062860000,127.45,Sensor14
5,2017-06-21 11:34:06+00:00,1498062846000,76.78,Sensor14
6,2017-06-21 11:33:32+00:00,1498062812000,2838.19,Sensor14
7,2017-06-21 11:32:36+00:00,1498062756000,74.08,Sensor14
8,2017-06-21 11:32:32+00:00,1498062752000,74.08,Sensor14
9,2017-06-21 11:22:29+00:00,1498062149000,3137.87,Sensor14
10,2017-06-21 11:22:25+00:00,1498062145000,2667.46,Sensor14
11,2017-06-21 11:22:17+00:00,1498062137000,2667.46,Sensor14
12,2017-06-21 11:21:13+00:00,1498062073000,2757.19,Sensor14
13,2017-06-21 11:21:09+00:00,1498062069000,2757.19,Sensor14
14,2017-06-21 11:21:05+00:00,1498062065000,2757.19,Sensor14
15,2017-06-21 11:20:25+00:00,1498062025000,77.73,Sensor14
16,2017-06-21 11:07:55+00:00,1498061275000,561.34,Sensor14
17,2017-06-21 11:07:51+00:00,1498061271000,561.34,Sensor14
18,2017-06-21 11:07:38+00:00,1498061258000,561.34,Sensor14
19,2017-06-21 11:06:33+00:00,1498061193000,2921.34,Sensor14
20,2017-06-21 11:05:26+00:00,1498061126000,71.26,Sensor14
21,2017-06-21 11:05:21+00:00,1498061121000,71.26,Sensor14
22,2017-06-21 11:05:17+00:00,1498061117000,71.26,Sensor14
23,2017-06-21 11:05:05+00:00,1498061105000,71.26,Sensor14
24,2017-06-21 10:55:24+00:00,1498060524000,2840.85,Sensor14
25,2017-06-21 10:53:20+00:00,1498060400000,2813.9,Sensor14
26,2017-06-21 10:50:33+00:00,1498060233000,324.87,Sensor14
27,2017-06-21 10:50:15+00:00,1498060215000,294.64,Sensor14
28,2017-06-21 10:43:57+00:00,1498059837000,2859.43,Sensor14
29,2017-06-21 10:43:53+00:00,1498059833000,2859.43,Sensor14
30,2017-06-21 10:41:48+00:00,1498059708000,3012.05,Sensor14
31,2017-06-21 10:40:39+00:00,1498059639000,418.73,Sensor14
32,2017-06-21 10:40:04+00:00,1498059604000,2407.12,Sensor14
33,2017-06-21 10:35:06+00:00,1498059306000,2396.71,Sensor14
34,2017-06-21 10:31:52+00:00,1498059112000,3054.05,Sensor14
35,2017-06-21 10:27:51+00:00,1498058871000,2561.79,Sensor14
36,2017-06-21 10:26:30+00:00,1498058790000,2261.23,Sensor14
37,2017-06-21 10:25:55+00:00,1498058755000,157.12,Sensor14
38,2017-06-21 10:25:43+00:00,1498058743000,2602.46,Sensor14
39,2017-06-21 10:24:25+00:00,1498058665000,2575.35,Sensor14
40,2017-06-21 10:23:20+00:00,1498058600000,547.43,Sensor14
41,2017-06-21 10:22:28+00:00,1498058548000,55.22,Sensor14
42,2017-06-21 10:22:17+00:00,1498058537000,557.27,Sensor14
43,2017-06-21 10:21:55+00:00,1498058515000,613.47,Sensor14
44,2017-06-21 10:21:20+00:00,1498058480000,466.21,Sensor14
45,2017-06-21 10:20:31+00:00,1498058431000,418.31,Sensor14
46,2017-06-21 10:18:41+00:00,1498058321000,428.56,Sensor14
47,2017-06-21 10:18:22+00:00,1498058302000,2722.03,Sensor14
48,2017-06-21 10:17:48+00:00,1498058268000,494.28,Sensor14
49,2017-06-21 10:12:48+00:00,1498057968000,175.31,Sensor14
50,2017-06-21 10:10:53+00:00,1498057853000,105.12,Sensor14
51,2017-06-21 10:10:48+00:00,1498057848000,2713.77,Sensor14
52,2017-06-21 10:09:59+00:00,1498057799000,73.23,Sensor14
53,2017-06-21 10:09:44+00:00,1498057784000,2717.74,Sensor14
54,2017-06-21 10:03:35+00:00,1498057415000,2833.28,Sensor14
55,2017-06-21 10:02:47+00:00,1498057367000,494.11,Sensor14
56,2017-06-21 09:59:39+00:00,1498057179000,111.53,Sensor14
57,2017-06-21 09:58:48+00:00,1498057128000,129.3,Sensor14
58,2017-06-21 09:58:34+00:00,1498057114000,129.3,Sensor14
59,2017-06-21 09:57:42+00:00,1498057062000,103.01,Sensor14
60,2017-06-21 09:57:36+00:00,1498057056000,103.01,Sensor14
61,2017-06-21 09:55:05+00:00,1498056905000,466.8,Sensor14
62,2017-06-21 09:54:04+00:00,1498056844000,2607.92,Sensor14
63,2017-06-21 09:51:09+00:00,1498056669000,2714.04,Sensor14
64,2017-06-21 09:51:04+00:00,1498056664000,2714.04,Sensor14
65,2017-06-21 09:50:38+00:00,1498056638000,2715.46,Sensor14
66,2017-06-21 09:50:30+00:00,1498056630000,2715.46,Sensor14
67,2017-06-21 09:48:54+00:00,1498056534000,2688.04,Sensor14
68,2017-06-21 09:45:11+00:00,1498056311000,218.34,Sensor14
69,2017-06-21 09:44:57+00:00,1498056297000,121.86,Sensor14
70,2017-06-21 09:42:20+00:00,1498056140000,2451.57,Sensor14
71,2017-06-21 09:39:05+00:00,1498055945000,73.65,Sensor14
72,2017-06-21 09:35:41+00:00,1498055741000,88.29,Sensor14
73,2017-06-21 09:33:36+00:00,1498055616000,1158.85,Sensor14
74,2017-06-21 09:33:16+00:00,1498055596000,121.53,Sensor14
75,2017-06-21 09:26:14+00:00,1498055174000,2608.52,Sensor14
76,2017-06-21 09:25:38+00:00,1498055138000,90.0,Sensor14
77,2017-06-21 09:24:13+00:00,1498055053000,589.75,Sensor14
78,2017-06-21 09:24:01+00:00,1498055041000,87.58,Sensor14
79,2017-06-21 09:21:33+00:00,1498054893000,2679.97,Sensor14
80,2017-06-21 09:20:22+00:00,1498054822000,2722.84,Sensor14
81,2017-06-21 09:20:02+00:00,1498054802000,2657.81,Sensor14
82,2017-06-21 09:16:07+00:00,1498054567000,2641.45,Sensor14
83,2017-06-21 09:12:10+00:00,1498054330000,2057.88,Sensor14
84,2017-06-21 09:11:16+00:00,1498054276000,2041.7,Sensor14
85,2017-06-21 09:08:35+00:00,1498054115000,85.82,Sensor14
86,2017-06-21 09:07:14+00:00,1498054034000,2714.1,Sensor14
87,2017-06-21 09:06:56+00:00,1498054016000,2963.11,Sensor14
88,2017-06-21 09:05:52+00:00,1498053952000,2117.52,Sensor14
89,2017-06-21 09:05:39+00:00,1498053939000,2037.76,Sensor14
90,2017-06-21 09:01:33+00:00,1498053693000,2720.39,Sensor14
91,2017-06-21 08:57:30+00:00,1498053450000,34.02,Sensor14
92,2017-06-21 08:57:12+00:00,1498053432000,565.12,Sensor14
93,2017-06-21 08:56:55+00:00,1498053415000,532.9,Sensor14
94,2017-06-21 08:54:20+00:00,1498053260000,3006.21,Sensor14
95,2017-06-21 08:44:08+00:00,1498052648000,2793.59,Sensor14
96,2017-06-21 08:40:34+00:00,1498052434000,2874.06,Sensor14
97,2017-06-21 08:39:09+00:00,1498052349000,2946.29,Sensor14
98,2017-06-21 08:38:00+00:00,1498052280000,52.48,Sensor14
99,2017-06-21 08:37:47+00:00,1498052267000,25.04,Sensor14
100,2017-06-21 08:35:38+00:00,1498052138000,2698.66,Sensor14
101,2017-06-21 08:30:25+00:00,1498051825000,2825.54,Sensor14
102,2017-06-21 08:29:01+00:00,1498051741000,65.27,Sensor14
