Day,Weight
1,43
2,52
3,67
4,81
5,100
6,122
7,149
8,178
9,209
10,245
11,286
12,329
13,374
14,421
15,471
16,527
17,588
18,652
19,719
20,787
21,858
22,931
23,1006
24,1085
25,1166
26,1251
27,1338
28,1428
29,1520
30,1614
31,1709
32,1806
33,1903
34,2001
35,2100
36,2201
37,2302
38,2404
39,2507
40,2612
41,2717
42,2823
43,2931
44,3037
45,3142
46,3244
47,3344
48,3442
49,3539
50,3633
51,3725
52,3816
53,3904
54,3990
55,4075
56,4159
57,4243
